"REF_DATE","GEO","DGUID","Estimates","Commodity","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2007","Alberta","2016A000248","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974210","13.1.22","325","","","","0"
"2008","Alberta","2016A000248","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974210","13.1.22","310","E","","","0"
"2009","Alberta","2016A000248","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974210","13.1.22","","F","","","0"
"2010","Alberta","2016A000248","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974210","13.1.22","","F","","","0"
"2011","Alberta","2016A000248","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974210","13.1.22","205","E","","","0"
"2012","Alberta","2016A000248","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974210","13.1.22","214","","","","0"
"2013","Alberta","2016A000248","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974210","13.1.22","223","","","","0"
"2014","Alberta","2016A000248","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974210","13.1.22","233","","","","0"
"2015","Alberta","2016A000248","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974210","13.1.22","242","","","","0"
"2016","Alberta","2016A000248","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974210","13.1.22","251","","","","0"
"2017","Alberta","2016A000248","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974210","13.1.22","","F","","","0"
"2018","Alberta","2016A000248","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974210","13.1.22","240","","","","0"
"2019","Alberta","2016A000248","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974210","13.1.22","208","","","","0"
"2020","Alberta","2016A000248","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974210","13.1.22","179","","","","0"
"2021","Alberta","2016A000248","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974210","13.1.22","213","","","","0"
"2022","Alberta","2016A000248","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974210","13.1.22","278","","","","0"
"2023","Alberta","2016A000248","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974210","13.1.22","293","","","","0"
"2007","Alberta","2016A000248","Average yield per acre (pounds)","Fresh pumpkins [114221551]","Pounds","254","units","0","v43974216","13.2.22","13300","","","t","0"
"2008","Alberta","2016A000248","Average yield per acre (pounds)","Fresh pumpkins [114221551]","Pounds","254","units","0","v43974216","13.2.22","13600","E","","t","0"
"2009","Alberta","2016A000248","Average yield per acre (pounds)","Fresh pumpkins [114221551]","Pounds","254","units","0","v43974216","13.2.22","","F","","t","0"
"2010","Alberta","2016A000248","Average yield per acre (pounds)","Fresh pumpkins [114221551]","Pounds","254","units","0","v43974216","13.2.22","","F","","t","0"
"2011","Alberta","2016A000248","Average yield per acre (pounds)","Fresh pumpkins [114221551]","Pounds","254","units","0","v43974216","13.2.22","","x","","t","0"
"2012","Alberta","2016A000248","Average yield per acre (pounds)","Fresh pumpkins [114221551]","Pounds","254","units","0","v43974216","13.2.22","28400","E","","t","0"
"2013","Alberta","2016A000248","Average yield per acre (pounds)","Fresh pumpkins [114221551]","Pounds","254","units","0","v43974216","13.2.22","10200","","","t","0"
"2014","Alberta","2016A000248","Average yield per acre (pounds)","Fresh pumpkins [114221551]","Pounds","254","units","0","v43974216","13.2.22","22800","","","t","0"
"2015","Alberta","2016A000248","Average yield per acre (pounds)","Fresh pumpkins [114221551]","Pounds","254","units","0","v43974216","13.2.22","26100","","","t","0"
"2016","Alberta","2016A000248","Average yield per acre (pounds)","Fresh pumpkins [114221551]","Pounds","254","units","0","v43974216","13.2.22","33400","","","t","0"
"2017","Alberta","2016A000248","Average yield per acre (pounds)","Fresh pumpkins [114221551]","Pounds","254","units","0","v43974216","13.2.22","29900","E","","t","0"
"2007","Alberta","2016A000248","Total production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974222","13.3.22","2000","","","","0"
"2008","Alberta","2016A000248","Total production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974222","13.3.22","1900","","","","0"
"2009","Alberta","2016A000248","Total production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974222","13.3.22","","F","","","0"
"2010","Alberta","2016A000248","Total production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974222","13.3.22","","F","","","0"
"2011","Alberta","2016A000248","Total production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974222","13.3.22","2925","","","","0"
"2012","Alberta","2016A000248","Total production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974222","13.3.22","2986","","","","0"
"2013","Alberta","2016A000248","Total production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974222","13.3.22","1117","","","","0"
"2014","Alberta","2016A000248","Total production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974222","13.3.22","1736","","","","0"
"2015","Alberta","2016A000248","Total production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974222","13.3.22","2376","","","","0"
"2016","Alberta","2016A000248","Total production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974222","13.3.22","3238","","","","0"
"2017","Alberta","2016A000248","Total production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974222","13.3.22","3597","","","","0"
"2018","Alberta","2016A000248","Total production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974222","13.3.22","3115","","","","0"
"2019","Alberta","2016A000248","Total production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974222","13.3.22","2726","","","","0"
"2020","Alberta","2016A000248","Total production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974222","13.3.22","2552","","","","0"
"2021","Alberta","2016A000248","Total production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974222","13.3.22","1839","","","","0"
"2022","Alberta","2016A000248","Total production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974222","13.3.22","4463","","","","0"
"2023","Alberta","2016A000248","Total production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974222","13.3.22","4234","","","","0"
"2007","Alberta","2016A000248","Farm gate value (dollars)","Fresh pumpkins [114221551]","Dollars","81","thousands","3","v43974228","13.4.22","600","","","","0"
"2008","Alberta","2016A000248","Farm gate value (dollars)","Fresh pumpkins [114221551]","Dollars","81","thousands","3","v43974228","13.4.22","590","","","","0"
"2009","Alberta","2016A000248","Farm gate value (dollars)","Fresh pumpkins [114221551]","Dollars","81","thousands","3","v43974228","13.4.22","","F","","","0"
"2010","Alberta","2016A000248","Farm gate value (dollars)","Fresh pumpkins [114221551]","Dollars","81","thousands","3","v43974228","13.4.22","","F","","","0"
"2011","Alberta","2016A000248","Farm gate value (dollars)","Fresh pumpkins [114221551]","Dollars","81","thousands","3","v43974228","13.4.22","","x","","","0"
"2012","Alberta","2016A000248","Farm gate value (dollars)","Fresh pumpkins [114221551]","Dollars","81","thousands","3","v43974228","13.4.22","1452","E","","","0"
"2013","Alberta","2016A000248","Farm gate value (dollars)","Fresh pumpkins [114221551]","Dollars","81","thousands","3","v43974228","13.4.22","482","","","","0"
"2014","Alberta","2016A000248","Farm gate value (dollars)","Fresh pumpkins [114221551]","Dollars","81","thousands","3","v43974228","13.4.22","859","","","","0"
"2015","Alberta","2016A000248","Farm gate value (dollars)","Fresh pumpkins [114221551]","Dollars","81","thousands","3","v43974228","13.4.22","1248","","","","0"
"2016","Alberta","2016A000248","Farm gate value (dollars)","Fresh pumpkins [114221551]","Dollars","81","thousands","3","v43974228","13.4.22","1643","","","","0"
"2017","Alberta","2016A000248","Farm gate value (dollars)","Fresh pumpkins [114221551]","Dollars","81","thousands","3","v43974228","13.4.22","","F","","","0"
"2018","Alberta","2016A000248","Farm gate value (dollars)","Fresh pumpkins [114221551]","Dollars","81","thousands","3","v43974228","13.4.22","1432","","","","0"
"2019","Alberta","2016A000248","Farm gate value (dollars)","Fresh pumpkins [114221551]","Dollars","81","thousands","3","v43974228","13.4.22","1254","","","","0"
"2020","Alberta","2016A000248","Farm gate value (dollars)","Fresh pumpkins [114221551]","Dollars","81","thousands","3","v43974228","13.4.22","1184","","","","0"
"2021","Alberta","2016A000248","Farm gate value (dollars)","Fresh pumpkins [114221551]","Dollars","81","thousands","3","v43974228","13.4.22","919","","","","0"
"2022","Alberta","2016A000248","Farm gate value (dollars)","Fresh pumpkins [114221551]","Dollars","81","thousands","3","v43974228","13.4.22","2245","","","","0"
"2023","Alberta","2016A000248","Farm gate value (dollars)","Fresh pumpkins [114221551]","Dollars","81","thousands","3","v43974228","13.4.22","2287","","","","0"
"2007","Alberta","2016A000248","Area harvested (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974234","13.5.22","300","","","","0"
"2008","Alberta","2016A000248","Area harvested (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974234","13.5.22","280","E","","","0"
"2009","Alberta","2016A000248","Area harvested (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974234","13.5.22","","F","","","0"
"2010","Alberta","2016A000248","Area harvested (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974234","13.5.22","","F","","","0"
"2011","Alberta","2016A000248","Area harvested (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974234","13.5.22","198","E","","","0"
"2012","Alberta","2016A000248","Area harvested (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974234","13.5.22","210","","","","0"
"2013","Alberta","2016A000248","Area harvested (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974234","13.5.22","219","","","","0"
"2014","Alberta","2016A000248","Area harvested (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974234","13.5.22","152","","","","0"
"2015","Alberta","2016A000248","Area harvested (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974234","13.5.22","182","","","","0"
"2016","Alberta","2016A000248","Area harvested (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974234","13.5.22","194","","","","0"
"2017","Alberta","2016A000248","Area harvested (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974234","13.5.22","241","E","","","0"
"2018","Alberta","2016A000248","Area harvested (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974234","13.5.22","220","","","","0"
"2019","Alberta","2016A000248","Area harvested (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974234","13.5.22","180","","","","0"
"2020","Alberta","2016A000248","Area harvested (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974234","13.5.22","164","","","","0"
"2021","Alberta","2016A000248","Area harvested (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974234","13.5.22","113","","","","0"
"2022","Alberta","2016A000248","Area harvested (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974234","13.5.22","276","","","","0"
"2023","Alberta","2016A000248","Area harvested (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974234","13.5.22","262","","","","0"
"2007","Alberta","2016A000248","Marketed production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974240","13.6.22","2000","","","","0"
"2008","Alberta","2016A000248","Marketed production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974240","13.6.22","1900","","","","0"
"2009","Alberta","2016A000248","Marketed production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974240","13.6.22","","F","","","0"
"2010","Alberta","2016A000248","Marketed production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974240","13.6.22","","F","","","0"
"2011","Alberta","2016A000248","Marketed production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974240","13.6.22","2925","","","","0"
"2012","Alberta","2016A000248","Marketed production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974240","13.6.22","2974","","","","0"
"2013","Alberta","2016A000248","Marketed production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974240","13.6.22","1104","","","","0"
"2014","Alberta","2016A000248","Marketed production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974240","13.6.22","1731","","","","0"
"2015","Alberta","2016A000248","Marketed production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974240","13.6.22","2362","","","","0"
"2016","Alberta","2016A000248","Marketed production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974240","13.6.22","3238","","","","0"
"2017","Alberta","2016A000248","Marketed production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974240","13.6.22","3591","","","","0"
"2018","Alberta","2016A000248","Marketed production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974240","13.6.22","3113","","","","0"
"2019","Alberta","2016A000248","Marketed production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974240","13.6.22","2726","","","","0"
"2020","Alberta","2016A000248","Marketed production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974240","13.6.22","2486","","","","0"
"2021","Alberta","2016A000248","Marketed production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974240","13.6.22","1838","","","","0"
"2022","Alberta","2016A000248","Marketed production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974240","13.6.22","4460","","","","0"
"2023","Alberta","2016A000248","Marketed production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974240","13.6.22","4211","","","","0"
"2007","Alberta","2016A000248","Area planted (hectares)","Fresh pumpkins [114221551]","Hectares","149","units","0","v52152701","13.7.22","132","","","","0"
"2008","Alberta","2016A000248","Area planted (hectares)","Fresh pumpkins [114221551]","Hectares","149","units","0","v52152701","13.7.22","125","E","","","0"
"2009","Alberta","2016A000248","Area planted (hectares)","Fresh pumpkins [114221551]","Hectares","149","units","0","v52152701","13.7.22","","F","","","0"
"2010","Alberta","2016A000248","Area planted (hectares)","Fresh pumpkins [114221551]","Hectares","149","units","0","v52152701","13.7.22","","F","","","0"
"2011","Alberta","2016A000248","Area planted (hectares)","Fresh pumpkins [114221551]","Hectares","149","units","0","v52152701","13.7.22","83","E","","","0"
"2012","Alberta","2016A000248","Area planted (hectares)","Fresh pumpkins [114221551]","Hectares","149","units","0","v52152701","13.7.22","87","","","","0"
"2013","Alberta","2016A000248","Area planted (hectares)","Fresh pumpkins [114221551]","Hectares","149","units","0","v52152701","13.7.22","90","","","","0"
"2014","Alberta","2016A000248","Area planted (hectares)","Fresh pumpkins [114221551]","Hectares","149","units","0","v52152701","13.7.22","94","","","","0"
"2015","Alberta","2016A000248","Area planted (hectares)","Fresh pumpkins [114221551]","Hectares","149","units","0","v52152701","13.7.22","98","","","","0"
"2016","Alberta","2016A000248","Area planted (hectares)","Fresh pumpkins [114221551]","Hectares","149","units","0","v52152701","13.7.22","102","","","","0"
"2017","Alberta","2016A000248","Area planted (hectares)","Fresh pumpkins [114221551]","Hectares","149","units","0","v52152701","13.7.22","","F","","","0"
