"REF_DATE","GEO","DGUID","Estimates","Commodity","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2007","British Columbia","2016A000259","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974246","14.1.22","700","","","","0"
"2008","British Columbia","2016A000259","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974246","14.1.22","600","","","","0"
"2009","British Columbia","2016A000259","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974246","14.1.22","705","","","","0"
"2010","British Columbia","2016A000259","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974246","14.1.22","873","","","","0"
"2011","British Columbia","2016A000259","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974246","14.1.22","914","","","","0"
"2012","British Columbia","2016A000259","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974246","14.1.22","937","","","","0"
"2013","British Columbia","2016A000259","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974246","14.1.22","960","","","","0"
"2014","British Columbia","2016A000259","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974246","14.1.22","982","","","","0"
"2015","British Columbia","2016A000259","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974246","14.1.22","1005","","","","0"
"2016","British Columbia","2016A000259","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974246","14.1.22","1028","","","","0"
"2017","British Columbia","2016A000259","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974246","14.1.22","935","","","","0"
"2018","British Columbia","2016A000259","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974246","14.1.22","850","","","","0"
"2019","British Columbia","2016A000259","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974246","14.1.22","835","","","","0"
"2020","British Columbia","2016A000259","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974246","14.1.22","574","","","","0"
"2021","British Columbia","2016A000259","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974246","14.1.22","950","","","","0"
"2022","British Columbia","2016A000259","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974246","14.1.22","755","","","","0"
"2023","British Columbia","2016A000259","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974246","14.1.22","713","","","","0"
"2007","British Columbia","2016A000259","Average yield per acre (pounds)","Fresh pumpkins [114221551]","Pounds","254","units","0","v43974252","14.2.22","23200","","","t","0"
"2008","British Columbia","2016A000259","Average yield per acre (pounds)","Fresh pumpkins [114221551]","Pounds","254","units","0","v43974252","14.2.22","20800","","","t","0"
"2009","British Columbia","2016A000259","Average yield per acre (pounds)","Fresh pumpkins [114221551]","Pounds","254","units","0","v43974252","14.2.22","32300","","","t","0"
"2010","British Columbia","2016A000259","Average yield per acre (pounds)","Fresh pumpkins [114221551]","Pounds","254","units","0","v43974252","14.2.22","25400","","","t","0"
"2011","British Columbia","2016A000259","Average yield per acre (pounds)","Fresh pumpkins [114221551]","Pounds","254","units","0","v43974252","14.2.22","25900","","","t","0"
"2012","British Columbia","2016A000259","Average yield per acre (pounds)","Fresh pumpkins [114221551]","Pounds","254","units","0","v43974252","14.2.22","30300","","","t","0"
"2013","British Columbia","2016A000259","Average yield per acre (pounds)","Fresh pumpkins [114221551]","Pounds","254","units","0","v43974252","14.2.22","27500","","","t","0"
"2014","British Columbia","2016A000259","Average yield per acre (pounds)","Fresh pumpkins [114221551]","Pounds","254","units","0","v43974252","14.2.22","31300","","","t","0"
"2015","British Columbia","2016A000259","Average yield per acre (pounds)","Fresh pumpkins [114221551]","Pounds","254","units","0","v43974252","14.2.22","25000","","","t","0"
"2016","British Columbia","2016A000259","Average yield per acre (pounds)","Fresh pumpkins [114221551]","Pounds","254","units","0","v43974252","14.2.22","26300","","","t","0"
"2017","British Columbia","2016A000259","Average yield per acre (pounds)","Fresh pumpkins [114221551]","Pounds","254","units","0","v43974252","14.2.22","29700","","","t","0"
"2007","British Columbia","2016A000259","Total production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974258","14.3.22","7250","","","","0"
"2008","British Columbia","2016A000259","Total production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974258","14.3.22","5500","","","","0"
"2009","British Columbia","2016A000259","Total production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974258","14.3.22","9436","","","","0"
"2010","British Columbia","2016A000259","Total production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974258","14.3.22","9483","","","","0"
"2011","British Columbia","2016A000259","Total production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974258","14.3.22","10849","","","","0"
"2012","British Columbia","2016A000259","Total production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974258","14.3.22","12710","","","","0"
"2013","British Columbia","2016A000259","Total production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974258","14.3.22","12482","","","","0"
"2014","British Columbia","2016A000259","Total production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974258","14.3.22","14143","","","","0"
"2015","British Columbia","2016A000259","Total production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974258","14.3.22","11486","","","","0"
"2016","British Columbia","2016A000259","Total production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974258","14.3.22","12158","","","","0"
"2017","British Columbia","2016A000259","Total production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974258","14.3.22","12966","","","","0"
"2018","British Columbia","2016A000259","Total production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974258","14.3.22","11025","","","","0"
"2019","British Columbia","2016A000259","Total production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974258","14.3.22","8590","","","","0"
"2020","British Columbia","2016A000259","Total production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974258","14.3.22","8651","","","","0"
"2021","British Columbia","2016A000259","Total production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974258","14.3.22","7994","E","","","0"
"2022","British Columbia","2016A000259","Total production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974258","14.3.22","6727","","","","0"
"2023","British Columbia","2016A000259","Total production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974258","14.3.22","7175","","","","0"
"2007","British Columbia","2016A000259","Farm gate value (dollars)","Fresh pumpkins [114221551]","Dollars","81","thousands","3","v43974264","14.4.22","2000","","","","0"
"2008","British Columbia","2016A000259","Farm gate value (dollars)","Fresh pumpkins [114221551]","Dollars","81","thousands","3","v43974264","14.4.22","1730","","","","0"
"2009","British Columbia","2016A000259","Farm gate value (dollars)","Fresh pumpkins [114221551]","Dollars","81","thousands","3","v43974264","14.4.22","2690","","","","0"
"2010","British Columbia","2016A000259","Farm gate value (dollars)","Fresh pumpkins [114221551]","Dollars","81","thousands","3","v43974264","14.4.22","3727","","","","0"
"2011","British Columbia","2016A000259","Farm gate value (dollars)","Fresh pumpkins [114221551]","Dollars","81","thousands","3","v43974264","14.4.22","4238","","","","0"
"2012","British Columbia","2016A000259","Farm gate value (dollars)","Fresh pumpkins [114221551]","Dollars","81","thousands","3","v43974264","14.4.22","3731","","","","0"
"2013","British Columbia","2016A000259","Farm gate value (dollars)","Fresh pumpkins [114221551]","Dollars","81","thousands","3","v43974264","14.4.22","4245","","","","0"
"2014","British Columbia","2016A000259","Farm gate value (dollars)","Fresh pumpkins [114221551]","Dollars","81","thousands","3","v43974264","14.4.22","4725","","","","0"
"2015","British Columbia","2016A000259","Farm gate value (dollars)","Fresh pumpkins [114221551]","Dollars","81","thousands","3","v43974264","14.4.22","5053","","","","0"
"2016","British Columbia","2016A000259","Farm gate value (dollars)","Fresh pumpkins [114221551]","Dollars","81","thousands","3","v43974264","14.4.22","4923","","","","0"
"2017","British Columbia","2016A000259","Farm gate value (dollars)","Fresh pumpkins [114221551]","Dollars","81","thousands","3","v43974264","14.4.22","6015","","","","0"
"2018","British Columbia","2016A000259","Farm gate value (dollars)","Fresh pumpkins [114221551]","Dollars","81","thousands","3","v43974264","14.4.22","5053","","","","0"
"2019","British Columbia","2016A000259","Farm gate value (dollars)","Fresh pumpkins [114221551]","Dollars","81","thousands","3","v43974264","14.4.22","5919","","","","0"
"2020","British Columbia","2016A000259","Farm gate value (dollars)","Fresh pumpkins [114221551]","Dollars","81","thousands","3","v43974264","14.4.22","5135","","","","0"
"2021","British Columbia","2016A000259","Farm gate value (dollars)","Fresh pumpkins [114221551]","Dollars","81","thousands","3","v43974264","14.4.22","4551","","","","0"
"2022","British Columbia","2016A000259","Farm gate value (dollars)","Fresh pumpkins [114221551]","Dollars","81","thousands","3","v43974264","14.4.22","4174","","","","0"
"2023","British Columbia","2016A000259","Farm gate value (dollars)","Fresh pumpkins [114221551]","Dollars","81","thousands","3","v43974264","14.4.22","4857","","","","0"
"2007","British Columbia","2016A000259","Area harvested (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974270","14.5.22","625","","","","0"
"2008","British Columbia","2016A000259","Area harvested (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974270","14.5.22","530","","","","0"
