"REF_DATE","GEO","DGUID","Estimates","Commodity","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2007","Canada","2016A000011124","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974102","1.1.22","8375","","","","0"
"2008","Canada","2016A000011124","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974102","1.1.22","7320","","","","0"
"2009","Canada","2016A000011124","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974102","1.1.22","7015","","","","0"
"2010","Canada","2016A000011124","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974102","1.1.22","7665","","","","0"
"2011","Canada","2016A000011124","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974102","1.1.22","8503","","","","0"
"2012","Canada","2016A000011124","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974102","1.1.22","8776","","","","0"
"2013","Canada","2016A000011124","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974102","1.1.22","8882","","","","0"
"2014","Canada","2016A000011124","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974102","1.1.22","9004","","","","0"
"2015","Canada","2016A000011124","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974102","1.1.22","8623","","","","0"
"2016","Canada","2016A000011124","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974102","1.1.22","9163","","","","0"
"2017","Canada","2016A000011124","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974102","1.1.22","8468","","","","0"
"2018","Canada","2016A000011124","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974102","1.1.22","7901","","","","0"
"2019","Canada","2016A000011124","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974102","1.1.22","8092","","","","0"
"2020","Canada","2016A000011124","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974102","1.1.22","9525","","","","0"
"2021","Canada","2016A000011124","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974102","1.1.22","11649","","","","0"
"2022","Canada","2016A000011124","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974102","1.1.22","11352","","","","0"
"2023","Canada","2016A000011124","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974102","1.1.22","11566","","","","0"
"2007","Canada","2016A000011124","Average yield per acre (pounds)","Fresh pumpkins [114221551]","Pounds","254","units","0","v43974108","1.2.22","13800","E","","t","0"
"2008","Canada","2016A000011124","Average yield per acre (pounds)","Fresh pumpkins [114221551]","Pounds","254","units","0","v43974108","1.2.22","15700","","","t","0"
"2009","Canada","2016A000011124","Average yield per acre (pounds)","Fresh pumpkins [114221551]","Pounds","254","units","0","v43974108","1.2.22","18100","","","t","0"
"2010","Canada","2016A000011124","Average yield per acre (pounds)","Fresh pumpkins [114221551]","Pounds","254","units","0","v43974108","1.2.22","15200","","","t","0"
"2011","Canada","2016A000011124","Average yield per acre (pounds)","Fresh pumpkins [114221551]","Pounds","254","units","0","v43974108","1.2.22","17400","","","t","0"
"2012","Canada","2016A000011124","Average yield per acre (pounds)","Fresh pumpkins [114221551]","Pounds","254","units","0","v43974108","1.2.22","19600","","","t","0"
"2013","Canada","2016A000011124","Average yield per acre (pounds)","Fresh pumpkins [114221551]","Pounds","254","units","0","v43974108","1.2.22","16300","","","t","0"
"2014","Canada","2016A000011124","Average yield per acre (pounds)","Fresh pumpkins [114221551]","Pounds","254","units","0","v43974108","1.2.22","21400","","","t","0"
"2015","Canada","2016A000011124","Average yield per acre (pounds)","Fresh pumpkins [114221551]","Pounds","254","units","0","v43974108","1.2.22","21000","","","t","0"
"2016","Canada","2016A000011124","Average yield per acre (pounds)","Fresh pumpkins [114221551]","Pounds","254","units","0","v43974108","1.2.22","21000","","","t","0"
"2017","Canada","2016A000011124","Average yield per acre (pounds)","Fresh pumpkins [114221551]","Pounds","254","units","0","v43974108","1.2.22","22400","","","t","0"
"2007","Canada","2016A000011124","Total production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974114","1.3.22","42233","E","","","0"
"2008","Canada","2016A000011124","Total production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974114","1.3.22","52628","","","","0"
"2009","Canada","2016A000011124","Total production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974114","1.3.22","57217","","","","0"
"2010","Canada","2016A000011124","Total production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974114","1.3.22","52534","","","","0"
"2011","Canada","2016A000011124","Total production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974114","1.3.22","68720","","","","0"
"2012","Canada","2016A000011124","Total production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974114","1.3.22","79324","","","","0"
"2013","Canada","2016A000011124","Total production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974114","1.3.22","69616","","","","0"
"2014","Canada","2016A000011124","Total production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974114","1.3.22","91712","","","","0"
"2015","Canada","2016A000011124","Total production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974114","1.3.22","84871","","","","0"
"2016","Canada","2016A000011124","Total production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974114","1.3.22","91189","","","","0"
"2017","Canada","2016A000011124","Total production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974114","1.3.22","91263","","","","0"
"2018","Canada","2016A000011124","Total production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974114","1.3.22","83822","","","","0"
"2019","Canada","2016A000011124","Total production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974114","1.3.22","83693","","","","0"
"2020","Canada","2016A000011124","Total production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974114","1.3.22","106855","","","","0"
"2021","Canada","2016A000011124","Total production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974114","1.3.22","92599","","","","0"
"2022","Canada","2016A000011124","Total production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974114","1.3.22","95664","","","","0"
"2023","Canada","2016A000011124","Total production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974114","1.3.22","94055","","","","0"
"2007","Canada","2016A000011124","Farm gate value (dollars)","Fresh pumpkins [114221551]","Dollars","81","thousands","3","v43974120","1.4.22","11035","","","","0"
"2008","Canada","2016A000011124","Farm gate value (dollars)","Fresh pumpkins [114221551]","Dollars","81","thousands","3","v43974120","1.4.22","12345","","","","0"
"2009","Canada","2016A000011124","Farm gate value (dollars)","Fresh pumpkins [114221551]","Dollars","81","thousands","3","v43974120","1.4.22","15277","","","","0"
"2010","Canada","2016A000011124","Farm gate value (dollars)","Fresh pumpkins [114221551]","Dollars","81","thousands","3","v43974120","1.4.22","15339","","","","0"
"2011","Canada","2016A000011124","Farm gate value (dollars)","Fresh pumpkins [114221551]","Dollars","81","thousands","3","v43974120","1.4.22","18127","","","","0"
"2012","Canada","2016A000011124","Farm gate value (dollars)","Fresh pumpkins [114221551]","Dollars","81","thousands","3","v43974120","1.4.22","20113","","","","0"
"2013","Canada","2016A000011124","Farm gate value (dollars)","Fresh pumpkins [114221551]","Dollars","81","thousands","3","v43974120","1.4.22","21815","","","","0"
"2014","Canada","2016A000011124","Farm gate value (dollars)","Fresh pumpkins [114221551]","Dollars","81","thousands","3","v43974120","1.4.22","26451","","","","0"
"2015","Canada","2016A000011124","Farm gate value (dollars)","Fresh pumpkins [114221551]","Dollars","81","thousands","3","v43974120","1.4.22","24886","","","","0"
"2016","Canada","2016A000011124","Farm gate value (dollars)","Fresh pumpkins [114221551]","Dollars","81","thousands","3","v43974120","1.4.22","26653","","","","0"
