"REF_DATE","GEO","DGUID","Estimates","Commodity","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2007","Manitoba","2016A000246","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974138","11.1.22","55","","","","0"
"2008","Manitoba","2016A000246","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974138","11.1.22","100","","","","0"
"2009","Manitoba","2016A000246","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974138","11.1.22","","F","","","0"
"2010","Manitoba","2016A000246","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974138","11.1.22","50","","","","0"
"2011","Manitoba","2016A000246","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974138","11.1.22","155","","","","0"
"2012","Manitoba","2016A000246","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974138","11.1.22","192","E","","","0"
"2013","Manitoba","2016A000246","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974138","11.1.22","229","","","","0"
"2014","Manitoba","2016A000246","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974138","11.1.22","","F","","","0"
"2015","Manitoba","2016A000246","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974138","11.1.22","303","","","","0"
"2016","Manitoba","2016A000246","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974138","11.1.22","341","","","","0"
"2017","Manitoba","2016A000246","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974138","11.1.22","385","","","","0"
"2018","Manitoba","2016A000246","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974138","11.1.22","210","","","","0"
"2019","Manitoba","2016A000246","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974138","11.1.22","233","","","","0"
"2020","Manitoba","2016A000246","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974138","11.1.22","229","","","","0"
"2021","Manitoba","2016A000246","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974138","11.1.22","302","","","","0"
"2022","Manitoba","2016A000246","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974138","11.1.22","235","","","","0"
"2023","Manitoba","2016A000246","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974138","11.1.22","222","","","","0"
"2007","Manitoba","2016A000246","Average yield per acre (pounds)","Fresh pumpkins [114221551]","Pounds","254","units","0","v43974144","11.2.22","18200","","","t","0"
"2008","Manitoba","2016A000246","Average yield per acre (pounds)","Fresh pumpkins [114221551]","Pounds","254","units","0","v43974144","11.2.22","","x","","t","0"
"2009","Manitoba","2016A000246","Average yield per acre (pounds)","Fresh pumpkins [114221551]","Pounds","254","units","0","v43974144","11.2.22","","F","","t","0"
"2010","Manitoba","2016A000246","Average yield per acre (pounds)","Fresh pumpkins [114221551]","Pounds","254","units","0","v43974144","11.2.22","8300","","","t","0"
"2011","Manitoba","2016A000246","Average yield per acre (pounds)","Fresh pumpkins [114221551]","Pounds","254","units","0","v43974144","11.2.22","10800","","","t","0"
"2012","Manitoba","2016A000246","Average yield per acre (pounds)","Fresh pumpkins [114221551]","Pounds","254","units","0","v43974144","11.2.22","24900","E","","t","0"
"2013","Manitoba","2016A000246","Average yield per acre (pounds)","Fresh pumpkins [114221551]","Pounds","254","units","0","v43974144","11.2.22","22100","","","t","0"
