"REF_DATE","GEO","DGUID","Estimates","Commodity","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2007","New Brunswick","2016A000213","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974390","7.1.22","170","","","","0"
"2008","New Brunswick","2016A000213","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974390","7.1.22","120","","","","0"
"2009","New Brunswick","2016A000213","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974390","7.1.22","145","","","","0"
"2010","New Brunswick","2016A000213","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974390","7.1.22","182","","","","0"
"2011","New Brunswick","2016A000213","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974390","7.1.22","196","","","","0"
"2012","New Brunswick","2016A000213","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974390","7.1.22","199","","","","0"
"2013","New Brunswick","2016A000213","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974390","7.1.22","202","","","","0"
"2014","New Brunswick","2016A000213","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974390","7.1.22","206","","","","0"
"2015","New Brunswick","2016A000213","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974390","7.1.22","209","","","","0"
"2016","New Brunswick","2016A000213","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974390","7.1.22","212","","","","0"
"2017","New Brunswick","2016A000213","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974390","7.1.22","207","","","","0"
"2018","New Brunswick","2016A000213","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974390","7.1.22","147","","","","0"
"2019","New Brunswick","2016A000213","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974390","7.1.22","130","","","","0"
"2020","New Brunswick","2016A000213","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974390","7.1.22","139","","","","0"
"2021","New Brunswick","2016A000213","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974390","7.1.22","166","","","","0"
"2022","New Brunswick","2016A000213","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974390","7.1.22","159","","","","0"
"2023","New Brunswick","2016A000213","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974390","7.1.22","160","","","","0"
"2007","New Brunswick","2016A000213","Average yield per acre (pounds)","Fresh pumpkins [114221551]","Pounds","254","units","0","v43974396","7.2.22","15300","","","t","0"
"2008","New Brunswick","2016A000213","Average yield per acre (pounds)","Fresh pumpkins [114221551]","Pounds","254","units","0","v43974396","7.2.22","9700","","","t","0"
"2009","New Brunswick","2016A000213","Average yield per acre (pounds)","Fresh pumpkins [114221551]","Pounds","254","units","0","v43974396","7.2.22","14300","","","t","0"
"2010","New Brunswick","2016A000213","Average yield per acre (pounds)","Fresh pumpkins [114221551]","Pounds","254","units","0","v43974396","7.2.22","15700","","","t","0"
"2011","New Brunswick","2016A000213","Average yield per acre (pounds)","Fresh pumpkins [114221551]","Pounds","254","units","0","v43974396","7.2.22","14500","","","t","0"
"2012","New Brunswick","2016A000213","Average yield per acre (pounds)","Fresh pumpkins [114221551]","Pounds","254","units","0","v43974396","7.2.22","12700","","","t","0"
"2013","New Brunswick","2016A000213","Average yield per acre (pounds)","Fresh pumpkins [114221551]","Pounds","254","units","0","v43974396","7.2.22","21100","","","t","0"
"2014","New Brunswick","2016A000213","Average yield per acre (pounds)","Fresh pumpkins [114221551]","Pounds","254","units","0","v43974396","7.2.22","15100","","","t","0"
"2015","New Brunswick","2016A000213","Average yield per acre (pounds)","Fresh pumpkins [114221551]","Pounds","254","units","0","v43974396","7.2.22","16700","","","t","0"
"2016","New Brunswick","2016A000213","Average yield per acre (pounds)","Fresh pumpkins [114221551]","Pounds","254","units","0","v43974396","7.2.22","15400","","","t","0"
"2017","New Brunswick","2016A000213","Average yield per acre (pounds)","Fresh pumpkins [114221551]","Pounds","254","units","0","v43974396","7.2.22","11300","","","t","0"
"2007","New Brunswick","2016A000213","Total production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974402","7.3.22","1300","","","","0"
"2008","New Brunswick","2016A000213","Total production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974402","7.3.22","535","","","","0"
"2009","New Brunswick","2016A000213","Total production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974402","7.3.22","1038","","","","0"
"2010","New Brunswick","2016A000213","Total production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974402","7.3.22","1422","","","","0"
"2011","New Brunswick","2016A000213","Total production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974402","7.3.22","1289","","","","0"
"2012","New Brunswick","2016A000213","Total production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974402","7.3.22","1205","","","","0"
"2013","New Brunswick","2016A000213","Total production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974402","7.3.22","2062","","","","0"
"2014","New Brunswick","2016A000213","Total production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974402","7.3.22","1500","","","","0"
"2015","New Brunswick","2016A000213","Total production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974402","7.3.22","1646","","","","0"
"2016","New Brunswick","2016A000213","Total production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974402","7.3.22","1574","","","","0"
"2017","New Brunswick","2016A000213","Total production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974402","7.3.22","1037","","","","0"
"2018","New Brunswick","2016A000213","Total production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974402","7.3.22","989","","","","0"
"2019","New Brunswick","2016A000213","Total production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974402","7.3.22","790","","","","0"
"2020","New Brunswick","2016A000213","Total production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974402","7.3.22","873","","","","0"
"2021","New Brunswick","2016A000213","Total production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974402","7.3.22","1866","","","","0"
"2022","New Brunswick","2016A000213","Total production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974402","7.3.22","1540","","","","0"
"2023","New Brunswick","2016A000213","Total production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974402","7.3.22","1524","","","","0"
"2007","New Brunswick","2016A000213","Farm gate value (dollars)","Fresh pumpkins [114221551]","Dollars","81","thousands","3","v43974408","7.4.22","425","","","","0"
"2008","New Brunswick","2016A000213","Farm gate value (dollars)","Fresh pumpkins [114221551]","Dollars","81","thousands","3","v43974408","7.4.22","180","","","","0"
"2009","New Brunswick","2016A000213","Farm gate value (dollars)","Fresh pumpkins [114221551]","Dollars","81","thousands","3","v43974408","7.4.22","205","","","","0"
"2010","New Brunswick","2016A000213","Farm gate value (dollars)","Fresh pumpkins [114221551]","Dollars","81","thousands","3","v43974408","7.4.22","356","","","","0"
"2011","New Brunswick","2016A000213","Farm gate value (dollars)","Fresh pumpkins [114221551]","Dollars","81","thousands","3","v43974408","7.4.22","338","","","","0"
"2012","New Brunswick","2016A000213","Farm gate value (dollars)","Fresh pumpkins [114221551]","Dollars","81","thousands","3","v43974408","7.4.22","444","","","","0"
"2013","New Brunswick","2016A000213","Farm gate value (dollars)","Fresh pumpkins [114221551]","Dollars","81","thousands","3","v43974408","7.4.22","475","","","","0"
"2014","New Brunswick","2016A000213","Farm gate value (dollars)","Fresh pumpkins [114221551]","Dollars","81","thousands","3","v43974408","7.4.22","402","","","","0"
"2015","New Brunswick","2016A000213","Farm gate value (dollars)","Fresh pumpkins [114221551]","Dollars","81","thousands","3","v43974408","7.4.22","460","","","","0"
"2016","New Brunswick","2016A000213","Farm gate value (dollars)","Fresh pumpkins [114221551]","Dollars","81","thousands","3","v43974408","7.4.22","533","","","","0"
"2017","New Brunswick","2016A000213","Farm gate value (dollars)","Fresh pumpkins [114221551]","Dollars","81","thousands","3","v43974408","7.4.22","427","","","","0"
"2018","New Brunswick","2016A000213","Farm gate value (dollars)","Fresh pumpkins [114221551]","Dollars","81","thousands","3","v43974408","7.4.22","455","","","","0"
"2019","New Brunswick","2016A000213","Farm gate value (dollars)","Fresh pumpkins [114221551]","Dollars","81","thousands","3","v43974408","7.4.22","348","","","","0"
"2020","New Brunswick","2016A000213","Farm gate value (dollars)","Fresh pumpkins [114221551]","Dollars","81","thousands","3","v43974408","7.4.22","489","","","","0"
