"REF_DATE","GEO","DGUID","Estimates","Commodity","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2007","Newfoundland and Labrador","2016A000210","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974282","3.1.22","35","","","","0"
"2008","Newfoundland and Labrador","2016A000210","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974282","3.1.22","15","","","","0"
"2009","Newfoundland and Labrador","2016A000210","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974282","3.1.22","15","E","","","0"
"2010","Newfoundland and Labrador","2016A000210","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974282","3.1.22","12","","","","0"
"2011","Newfoundland and Labrador","2016A000210","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974282","3.1.22","35","","","","0"
"2012","Newfoundland and Labrador","2016A000210","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974282","3.1.22","36","","","","0"
"2013","Newfoundland and Labrador","2016A000210","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974282","3.1.22","37","","","","0"
"2014","Newfoundland and Labrador","2016A000210","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974282","3.1.22","38","","","","0"
"2015","Newfoundland and Labrador","2016A000210","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974282","3.1.22","39","E","","","0"
"2016","Newfoundland and Labrador","2016A000210","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974282","3.1.22","40","E","","","0"
"2017","Newfoundland and Labrador","2016A000210","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974282","3.1.22","38","","","","0"
"2018","Newfoundland and Labrador","2016A000210","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974282","3.1.22","28","","","","0"
"2019","Newfoundland and Labrador","2016A000210","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974282","3.1.22","28","","","","0"
"2020","Newfoundland and Labrador","2016A000210","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974282","3.1.22","20","","","","0"
