"REF_DATE","GEO","DGUID","Estimates","Commodity","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2007","Nova Scotia","2016A000212","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974354","6.1.22","290","","","","0"
"2008","Nova Scotia","2016A000212","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974354","6.1.22","210","","","","0"
"2009","Nova Scotia","2016A000212","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974354","6.1.22","115","","","","0"
"2010","Nova Scotia","2016A000212","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974354","6.1.22","128","","","","0"
"2011","Nova Scotia","2016A000212","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974354","6.1.22","227","","","","0"
"2012","Nova Scotia","2016A000212","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974354","6.1.22","239","","","","0"
"2013","Nova Scotia","2016A000212","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974354","6.1.22","251","","","","0"
"2014","Nova Scotia","2016A000212","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974354","6.1.22","264","E","","","0"
"2015","Nova Scotia","2016A000212","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974354","6.1.22","276","","","","0"
"2016","Nova Scotia","2016A000212","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974354","6.1.22","288","","","","0"
"2017","Nova Scotia","2016A000212","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974354","6.1.22","265","","","","0"
"2018","Nova Scotia","2016A000212","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974354","6.1.22","213","","","","0"
"2019","Nova Scotia","2016A000212","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974354","6.1.22","280","","","","0"
"2020","Nova Scotia","2016A000212","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974354","6.1.22","309","","","","0"
"2021","Nova Scotia","2016A000212","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974354","6.1.22","338","","","","0"
"2022","Nova Scotia","2016A000212","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974354","6.1.22","264","","","","0"
"2023","Nova Scotia","2016A000212","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974354","6.1.22","289","","","","0"
"2007","Nova Scotia","2016A000212","Average yield per acre (pounds)","Fresh pumpkins [114221551]","Pounds","254","units","0","v43974360","6.2.22","6200","","","t","0"
"2008","Nova Scotia","2016A000212","Average yield per acre (pounds)","Fresh pumpkins [114221551]","Pounds","254","units","0","v43974360","6.2.22","9000","","","t","0"
"2009","Nova Scotia","2016A000212","Average yield per acre (pounds)","Fresh pumpkins [114221551]","Pounds","254","units","0","v43974360","6.2.22","7800","","","t","0"
"2010","Nova Scotia","2016A000212","Average yield per acre (pounds)","Fresh pumpkins [114221551]","Pounds","254","units","0","v43974360","6.2.22","10200","","","t","0"
"2011","Nova Scotia","2016A000212","Average yield per acre (pounds)","Fresh pumpkins [114221551]","Pounds","254","units","0","v43974360","6.2.22","7300","","","t","0"
"2012","Nova Scotia","2016A000212","Average yield per acre (pounds)","Fresh pumpkins [114221551]","Pounds","254","units","0","v43974360","6.2.22","10300","","","t","0"
"2013","Nova Scotia","2016A000212","Average yield per acre (pounds)","Fresh pumpkins [114221551]","Pounds","254","units","0","v43974360","6.2.22","6400","","","t","0"
"2014","Nova Scotia","2016A000212","Average yield per acre (pounds)","Fresh pumpkins [114221551]","Pounds","254","units","0","v43974360","6.2.22","13200","E","","t","0"
"2015","Nova Scotia","2016A000212","Average yield per acre (pounds)","Fresh pumpkins [114221551]","Pounds","254","units","0","v43974360","6.2.22","8600","","","t","0"
"2016","Nova Scotia","2016A000212","Average yield per acre (pounds)","Fresh pumpkins [114221551]","Pounds","254","units","0","v43974360","6.2.22","16900","","","t","0"
"2017","Nova Scotia","2016A000212","Average yield per acre (pounds)","Fresh pumpkins [114221551]","Pounds","254","units","0","v43974360","6.2.22","10800","","","t","0"
"2007","Nova Scotia","2016A000212","Total production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974366","6.3.22","900","","","","0"
"2008","Nova Scotia","2016A000212","Total production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974366","6.3.22","900","","","","0"
"2009","Nova Scotia","2016A000212","Total production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974366","6.3.22","411","","","","0"
