"REF_DATE","GEO","DGUID","Estimates","Commodity","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2007","Ontario","2016A000235","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974462","9.1.22","5000","","","","0"
"2008","Ontario","2016A000235","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974462","9.1.22","4375","","","","0"
"2009","Ontario","2016A000235","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974462","9.1.22","4050","","","","0"
"2010","Ontario","2016A000235","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974462","9.1.22","4436","","","","0"
"2011","Ontario","2016A000235","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974462","9.1.22","4658","","","","0"
"2012","Ontario","2016A000235","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974462","9.1.22","4863","","","","0"
"2013","Ontario","2016A000235","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974462","9.1.22","4900","","","","0"
"2014","Ontario","2016A000235","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974462","9.1.22","4950","","","","0"
"2015","Ontario","2016A000235","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974462","9.1.22","4500","","","","0"
"2016","Ontario","2016A000235","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974462","9.1.22","4971","","","","0"
"2017","Ontario","2016A000235","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974462","9.1.22","4577","","","","0"
"2018","Ontario","2016A000235","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974462","9.1.22","4500","","","","0"
"2019","Ontario","2016A000235","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974462","9.1.22","4787","","","","0"
"2020","Ontario","2016A000235","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974462","9.1.22","6481","","","","0"
"2021","Ontario","2016A000235","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974462","9.1.22","8025","","","","0"
