"REF_DATE","GEO","DGUID","Estimates","Commodity","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2007","Prince Edward Island","2016A000211","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974318","5.1.22","40","","","","0"
"2008","Prince Edward Island","2016A000211","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974318","5.1.22","70","","","","0"
"2009","Prince Edward Island","2016A000211","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974318","5.1.22","","F","","","0"
"2010","Prince Edward Island","2016A000211","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974318","5.1.22","46","E","","","0"
"2011","Prince Edward Island","2016A000211","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974318","5.1.22","86","","","","0"
"2012","Prince Edward Island","2016A000211","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974318","5.1.22","89","","","","0"
"2013","Prince Edward Island","2016A000211","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974318","5.1.22","92","","","","0"
"2014","Prince Edward Island","2016A000211","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974318","5.1.22","","F","","","0"
"2015","Prince Edward Island","2016A000211","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974318","5.1.22","99","E","","","0"
"2016","Prince Edward Island","2016A000211","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974318","5.1.22","102","","","","0"
"2017","Prince Edward Island","2016A000211","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974318","5.1.22","95","","","","0"
"2018","Prince Edward Island","2016A000211","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974318","5.1.22","71","E","","","0"
"2019","Prince Edward Island","2016A000211","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974318","5.1.22","83","","","","0"
"2020","Prince Edward Island","2016A000211","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974318","5.1.22","63","","","","0"
"2021","Prince Edward Island","2016A000211","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974318","5.1.22","69","E","","","0"
"2022","Prince Edward Island","2016A000211","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974318","5.1.22","60","E","","","0"
"2023","Prince Edward Island","2016A000211","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974318","5.1.22","62","","","","0"
"2007","Prince Edward Island","2016A000211","Average yield per acre (pounds)","Fresh pumpkins [114221551]","Pounds","254","units","0","v43974324","5.2.22","17900","","","t","0"
"2008","Prince Edward Island","2016A000211","Average yield per acre (pounds)","Fresh pumpkins [114221551]","Pounds","254","units","0","v43974324","5.2.22","15600","","","t","0"
"2009","Prince Edward Island","2016A000211","Average yield per acre (pounds)","Fresh pumpkins [114221551]","Pounds","254","units","0","v43974324","5.2.22","","F","","t","0"
"2010","Prince Edward Island","2016A000211","Average yield per acre (pounds)","Fresh pumpkins [114221551]","Pounds","254","units","0","v43974324","5.2.22","9400","E","","t","0"
"2011","Prince Edward Island","2016A000211","Average yield per acre (pounds)","Fresh pumpkins [114221551]","Pounds","254","units","0","v43974324","5.2.22","10900","","","t","0"
