"REF_DATE","GEO","DGUID","Estimates","Commodity","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2007","Quebec","2016A000224","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974426","8.1.22","1700","","","","0"
"2008","Quebec","2016A000224","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974426","8.1.22","1480","","","","0"
"2009","Quebec","2016A000224","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974426","8.1.22","1440","","","","0"
"2010","Quebec","2016A000224","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974426","8.1.22","1481","","","","0"
"2011","Quebec","2016A000224","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974426","8.1.22","1954","","","","0"
"2012","Quebec","2016A000224","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974426","8.1.22","1930","","","","0"
"2013","Quebec","2016A000224","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974426","8.1.22","1907","","","","0"
"2014","Quebec","2016A000224","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974426","8.1.22","1883","","","","0"
"2015","Quebec","2016A000224","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974426","8.1.22","1860","","","","0"
"2016","Quebec","2016A000224","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974426","8.1.22","1836","","","","0"
"2017","Quebec","2016A000224","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974426","8.1.22","1603","","","","0"
"2018","Quebec","2016A000224","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974426","8.1.22","1557","","","","0"
"2019","Quebec","2016A000224","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974426","8.1.22","1428","","","","0"
"2020","Quebec","2016A000224","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974426","8.1.22","1484","","","","0"
"2021","Quebec","2016A000224","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974426","8.1.22","1504","","","","0"
"2022","Quebec","2016A000224","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974426","8.1.22","1194","","","","0"
"2023","Quebec","2016A000224","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974426","8.1.22","1250","","","","0"
"2007","Quebec","2016A000224","Average yield per acre (pounds)","Fresh pumpkins [114221551]","Pounds","254","units","0","v43974432","8.2.22","17100","","","t","0"
"2008","Quebec","2016A000224","Average yield per acre (pounds)","Fresh pumpkins [114221551]","Pounds","254","units","0","v43974432","8.2.22","20900","","","t","0"
"2009","Quebec","2016A000224","Average yield per acre (pounds)","Fresh pumpkins [114221551]","Pounds","254","units","0","v43974432","8.2.22","24200","","","t","0"
"2010","Quebec","2016A000224","Average yield per acre (pounds)","Fresh pumpkins [114221551]","Pounds","254","units","0","v43974432","8.2.22","21200","","","t","0"
"2011","Quebec","2016A000224","Average yield per acre (pounds)","Fresh pumpkins [114221551]","Pounds","254","units","0","v43974432","8.2.22","18600","","","t","0"
"2012","Quebec","2016A000224","Average yield per acre (pounds)","Fresh pumpkins [114221551]","Pounds","254","units","0","v43974432","8.2.22","18000","","","t","0"
"2013","Quebec","2016A000224","Average yield per acre (pounds)","Fresh pumpkins [114221551]","Pounds","254","units","0","v43974432","8.2.22","14900","","","t","0"
"2014","Quebec","2016A000224","Average yield per acre (pounds)","Fresh pumpkins [114221551]","Pounds","254","units","0","v43974432","8.2.22","20500","","","t","0"
"2015","Quebec","2016A000224","Average yield per acre (pounds)","Fresh pumpkins [114221551]","Pounds","254","units","0","v43974432","8.2.22","24600","","","t","0"
"2016","Quebec","2016A000224","Average yield per acre (pounds)","Fresh pumpkins [114221551]","Pounds","254","units","0","v43974432","8.2.22","25500","","","t","0"
"2017","Quebec","2016A000224","Average yield per acre (pounds)","Fresh pumpkins [114221551]","Pounds","254","units","0","v43974432","8.2.22","22100","","","t","0"
"2007","Quebec","2016A000224","Total production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974438","8.3.22","11100","","","","0"
"2008","Quebec","2016A000224","Total production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974438","8.3.22","13800","","","","0"
"2009","Quebec","2016A000224","Total production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974438","8.3.22","14334","","","","0"
