"REF_DATE","GEO","DGUID","Estimates","Commodity","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2007","Saskatchewan","2016A000247","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974174","12.1.22","60","E","","","0"
"2008","Saskatchewan","2016A000247","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974174","12.1.22","40","","","","0"
"2009","Saskatchewan","2016A000247","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974174","12.1.22","","F","","","0"
"2010","Saskatchewan","2016A000247","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974174","12.1.22","","F","","","0"
"2011","Saskatchewan","2016A000247","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974174","12.1.22","73","E","","","0"
"2012","Saskatchewan","2016A000247","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974174","12.1.22","","F","","","0"
"2013","Saskatchewan","2016A000247","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974174","12.1.22","81","","","","0"
"2014","Saskatchewan","2016A000247","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974174","12.1.22","86","","","","0"
"2015","Saskatchewan","2016A000247","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974174","12.1.22","","F","","","0"
"2016","Saskatchewan","2016A000247","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974174","12.1.22","94","E","","","0"
"2017","Saskatchewan","2016A000247","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974174","12.1.22","90","","","","0"
"2018","Saskatchewan","2016A000247","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974174","12.1.22","85","","","","0"
"2019","Saskatchewan","2016A000247","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974174","12.1.22","81","","","","0"
"2020","Saskatchewan","2016A000247","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974174","12.1.22","45","","","","0"
"2021","Saskatchewan","2016A000247","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974174","12.1.22","60","","","","0"
"2022","Saskatchewan","2016A000247","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974174","12.1.22","64","","","","0"
"2023","Saskatchewan","2016A000247","Area planted (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974174","12.1.22","60","","","","0"
"2007","Saskatchewan","2016A000247","Average yield per acre (pounds)","Fresh pumpkins [114221551]","Pounds","254","units","0","v43974180","12.2.22","15000","","","t","0"
"2008","Saskatchewan","2016A000247","Average yield per acre (pounds)","Fresh pumpkins [114221551]","Pounds","254","units","0","v43974180","12.2.22","","x","","t","0"
"2009","Saskatchewan","2016A000247","Average yield per acre (pounds)","Fresh pumpkins [114221551]","Pounds","254","units","0","v43974180","12.2.22","","F","","t","0"
"2010","Saskatchewan","2016A000247","Average yield per acre (pounds)","Fresh pumpkins [114221551]","Pounds","254","units","0","v43974180","12.2.22","","F","","t","0"
"2011","Saskatchewan","2016A000247","Average yield per acre (pounds)","Fresh pumpkins [114221551]","Pounds","254","units","0","v43974180","12.2.22","","x","","t","0"
"2012","Saskatchewan","2016A000247","Average yield per acre (pounds)","Fresh pumpkins [114221551]","Pounds","254","units","0","v43974180","12.2.22","","F","","t","0"
"2013","Saskatchewan","2016A000247","Average yield per acre (pounds)","Fresh pumpkins [114221551]","Pounds","254","units","0","v43974180","12.2.22","14700","","","t","0"
"2014","Saskatchewan","2016A000247","Average yield per acre (pounds)","Fresh pumpkins [114221551]","Pounds","254","units","0","v43974180","12.2.22","","F","","t","0"
"2015","Saskatchewan","2016A000247","Average yield per acre (pounds)","Fresh pumpkins [114221551]","Pounds","254","units","0","v43974180","12.2.22","","F","","t","0"
"2016","Saskatchewan","2016A000247","Average yield per acre (pounds)","Fresh pumpkins [114221551]","Pounds","254","units","0","v43974180","12.2.22","10300","E","","t","0"
"2017","Saskatchewan","2016A000247","Average yield per acre (pounds)","Fresh pumpkins [114221551]","Pounds","254","units","0","v43974180","12.2.22","11800","","","t","0"
"2007","Saskatchewan","2016A000247","Total production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974186","12.3.22","150","","","","0"
"2008","Saskatchewan","2016A000247","Total production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974186","12.3.22","","x","","","0"
"2009","Saskatchewan","2016A000247","Total production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974186","12.3.22","","F","","","0"
"2010","Saskatchewan","2016A000247","Total production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974186","12.3.22","","F","","","0"
"2011","Saskatchewan","2016A000247","Total production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974186","12.3.22","730","","","","0"
"2012","Saskatchewan","2016A000247","Total production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974186","12.3.22","481","","","","0"
"2013","Saskatchewan","2016A000247","Total production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974186","12.3.22","595","","","","0"
"2014","Saskatchewan","2016A000247","Total production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974186","12.3.22","586","","","","0"
"2015","Saskatchewan","2016A000247","Total production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974186","12.3.22","428","","","","0"
"2016","Saskatchewan","2016A000247","Total production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974186","12.3.22","484","","","","0"
"2017","Saskatchewan","2016A000247","Total production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974186","12.3.22","531","","","","0"
"2018","Saskatchewan","2016A000247","Total production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974186","12.3.22","399","","","","0"
"2019","Saskatchewan","2016A000247","Total production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974186","12.3.22","595","","","","0"
"2020","Saskatchewan","2016A000247","Total production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974186","12.3.22","384","","","","0"
"2021","Saskatchewan","2016A000247","Total production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974186","12.3.22","340","","","","0"
"2022","Saskatchewan","2016A000247","Total production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974186","12.3.22","341","","","","0"
"2023","Saskatchewan","2016A000247","Total production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974186","12.3.22","348","","","","0"
"2007","Saskatchewan","2016A000247","Farm gate value (dollars)","Fresh pumpkins [114221551]","Dollars","81","thousands","3","v43974192","12.4.22","70","","","","0"
"2008","Saskatchewan","2016A000247","Farm gate value (dollars)","Fresh pumpkins [114221551]","Dollars","81","thousands","3","v43974192","12.4.22","","x","","","0"
"2009","Saskatchewan","2016A000247","Farm gate value (dollars)","Fresh pumpkins [114221551]","Dollars","81","thousands","3","v43974192","12.4.22","","F","","","0"
"2010","Saskatchewan","2016A000247","Farm gate value (dollars)","Fresh pumpkins [114221551]","Dollars","81","thousands","3","v43974192","12.4.22","","F","","","0"
"2011","Saskatchewan","2016A000247","Farm gate value (dollars)","Fresh pumpkins [114221551]","Dollars","81","thousands","3","v43974192","12.4.22","","x","","","0"
